drmin,drmax,selection,output_file,reduction_factor
0.01,0.2000,0.1100,wzp6_ee_Htaunutauqq_ecm125.root,0.687786
0.01,0.2000,0.1100,wzp6_ee_Hqqtaunutau_ecm125.root,0.730562
0.01,0.2000,0.1200,wzp6_ee_Henueqq_ecm125.root,0.08137888888888889
0.01,0.2000,0.1200,wzp6_ee_Hqqenue_ecm125.root,0.096602
0.01,0.2000,0.1200,wzp6_ee_Hmunumuqq_ecm125.root,0.058002
0.01,0.2000,0.1200,wzp6_ee_Hqqmunumu_ecm125.root,0.071658
0.01,0.2000,0.1200,wzp6_ee_Htaunutauqq_ecm125.root,0.686925
0.01,0.2000,0.1200,wzp6_ee_Hqqtaunutau_ecm125.root,0.72979
0.01,0.2000,0.1300,wzp6_ee_Henueqq_ecm125.root,0.07866222222222222
0.01,0.2000,0.1300,wzp6_ee_Hqqenue_ecm125.root,0.093414
0.01,0.2000,0.1300,wzp6_ee_Hmunumuqq_ecm125.root,0.056126
0.01,0.2000,0.1300,wzp6_ee_Hqqmunumu_ecm125.root,0.069438
0.01,0.2000,0.1300,wzp6_ee_Htaunutauqq_ecm125.root,0.686153
0.01,0.2000,0.1300,wzp6_ee_Hqqtaunutau_ecm125.root,0.729087
0.01,0.2000,0.1400,wzp6_ee_Henueqq_ecm125.root,0.07622222222222222
0.01,0.2000,0.1400,wzp6_ee_Hqqenue_ecm125.root,0.090656
0.01,0.2000,0.1400,wzp6_ee_Hmunumuqq_ecm125.root,0.054344
0.01,0.2000,0.1400,wzp6_ee_Hqqmunumu_ecm125.root,0.067425
0.01,0.2000,0.1400,wzp6_ee_Htaunutauqq_ecm125.root,0.685483
0.01,0.2000,0.1400,wzp6_ee_Hqqtaunutau_ecm125.root,0.728367
0.01,0.2000,0.1500,wzp6_ee_Henueqq_ecm125.root,0.07401
0.01,0.2000,0.1500,wzp6_ee_Hqqenue_ecm125.root,0.08811
0.01,0.2000,0.1500,wzp6_ee_Hmunumuqq_ecm125.root,0.052767
